id;client_id;marca;carro;modelo;year;color;plate;chassis;km;fuel_type;notes;is_active;created_at;updated_at;versao;ultimo_km;origem_contato
;16697;FORD;KA SE 1.5 SD B;FORD/KA SE 1.5 SD B;18|18;PRATA;QOP6276;9BFZH54J4J8194489;;176;;;;;;;
;16698;FIAT;CRONOS DRIVE 1.3;I/FIAT CRONOS DRIVE 1.3;21|22;BRANCA;RNT0H91;8AP359A1DNU158180;;5664;;;;;;;
;16699;GM;CHEVROLT/S10 LTZ FD4A;CHEVROLT/S10 LTZ FD4A;;CINZA;GJM0D15;9BG148MA0MC409235;;6232;;;;;;;
;16700;PEUGEOT;208 ACTIVE AT1;;22|23;;RUH7I42;;;3975;;;;;;;
;16701;PEUGEOT;208 ALLURE AT;;22|23;;RUH7H63;;;3975;;;;;;;
;16702;HYUNDAI;HB20;;|;;FQE7A55;;;3975;;;;;;;
;16703;FIAT;ARGO 1.0;FIAT/ARGO 1.0;21|21;PRATA;RNB7H72;9BD358A1NMYL22991;;3975;;;;;;;
;16704;HYUNDAI;HB2010TA EVOLUTI;;21|22;;RNY2I47;;;3975;;;;;;;
;16705;HYUNDAI;HB2010TA EVOLUTI;;21|22;;RNY2I47;;;3975;;;;;;;
;16706;HYUNDAI;HB2010TA EVOLUTI;;21|22;;RNY2I47;;;3975;;;;;;;
;16707;CITROEN;C4CACTUS FEEL AT;;21|22;;RTG2D88;;;3975;;;;;;;
;16708;I?MINI ONE;I?MINI ONE;MINI COOPER;12|13;BRANCA;FEZ8E84;WMWSR310XDT293132;;6590;;;;;;;
;16709;FIAT;CRONOS 1.3;;22|22;;RUD4H53;;;6537;;;;;;;
;16710;CHEV;ONIX JOY;CHEV/ONIX JOY;20|20;BRANCA;QXL6893;9BGKL48U0LB187399;;6218;;;;;;;
;16711;PEUGEOT;208 ACT PK1AT;I/PEUGEOT 208 ACT PK1AT;21|21;AZUL;RMR9A63;8ADUWNFGYMG709601;;5664;;;;;;;
;16712;RENAULT;LOGAN ZEN10MT;;22|23;;RUM3A98;;;5664;;;;;;;
;16713;FIAT;CRONOS 1.3;;21|22;;RTF5A47;;;6537;;;;;;;
;16714;CITROEN;C4CACTUS FEEL P;;22|22;;RUO1G31;;;3975;;;;;;;
;16715;FIAT;ARGO 1.0;;22|23;;RUT4D03;;;6537;;;;;;;
;16716;VW;GOL 16V;GOL 16V;99|00;CINZA;CSA0879;9BWZZZ373YT068814;;912;;;;;;;
;16717;VW;/GOL 1.0L MC4;1.0;;BRANCA;FGY9486;;;6199;;;;;;;
;16718;VW;/GOL 1.0L MC4;VW/GOL 1.0L MC4;20|21;PRATA;RFI5E11;9BWAG45U0MT043458;;6343;;;;;;;
;16719;HYUNDAI;HB20 10M SENSE;;22|22;;GGK7I54;;;3975;;;;;;;
;16720;FIAT;ARGO DRIVE 1.0;FIAT/ARGO DRIVE 1.0;20|21;PRETA;RFQ1G92;9BD358A4NMYK66941;;6541;;;;;;;
;16721;FIAT;ARGO DRIVE 1.0;FIAT/ARGO DRIVE 1.0;20|21;PRETA;RFQ1G92;9BD358A4NMYK66941;;6541;;;;;;;
;16722;FIAT;ARGO 1.0;FIAT/ARGO 1.0;21|22;PRATA;RNG0G78;9BD358A1NNYL39285;;6031;;;;;;;
;16723;CITROEN;C4CACTUS FEEL AT;;22|22;;RUH4C03;;;6591;;;;;;;
;16724;HYUNDAI;HB20 10M VISION;;22|22;;RUE3H04;;;5664;;;;;;;
;16725;HYUNDAI;HB20 10M VISION;;22|22;;RUJ2J10;;;5664;;;;;;;
;16726;;;;;;RTK1I27;;;5664;;;;;;;
;16727;CHEVROLET;ONIX 10MT JOYE;CHEVROLET/ONIX 10MT JOYE;19|19;PRATA;QQV1638;9BGKL48U0KB234906;;6218;;;;;;;
;16728;FIAT;UNO ATTRACTIVE 1.0;FIAT/UNO ATTRACTIVE 1.0;20|21;CINZA;RFL1E31;9BD195A4ZM0892025;;5664;;;;;;;
;16729;NISSAN;V-DRIVE 10 MT;NISSAN/V-DRIVE 10 MT;20|21;PRATA;RFV2G98;94DBFAN17MB100569;;6218;;;;;;;
;16730;FIAT;SIENA 1.4;;21|21;;FHS4B87;;;3975;;;;;;;
;16731;HYUNDAI;HB20 10M SENSE;;22|22;;RTU4B18;;;3975;;;;;;;
;16732;SUZUKI;G.VITARA;I/SUZUKI G.VITARA 2WD 5P;13|13;MARROM;FJT7565;JSAJTE54VD4202181;;6592;;;;;;;
;16733;FORD;KA SE PLUS AT1.5SDC;FORD/KA SE PLUS AT1.5SDC;19|20;PRATA;QUN4570;9BFZH54S3L8404740;;192;;;;;;;
;16734;;HB20S 10M EVOLUT;;22|22;;RTW3J85;;;3975;;;;;;;
;16735;TOYOTA;HILUX ;I/TOYOTA HILUX SWSRVA2HF;19|19;MARROM;CAM9412;8AJJC3GS1K0153427;;6593;;;;;;;
;16736;CITROEN;C4CACTUS SHINE T;;22|22;;RTT0B68;;;3975;;;;;;;
;16737;CHEV;ONIX PLUS 10MT LT1;CHEV/ONIX PLUS 10MT LT1;20|21;PRATA;RFY7F64;9BGEB69A0MG136263;;6541;;;;;;;
;16738;CHEV;ONIX PLUS 10MT LT1;CHEV/ONIX PLUS 10MT LT1;20|21;PRATA;RFY7F64;9BGEB69A0MG136263;;6541;;;;;;;
;16739;KIA;SOUL;1.6;13|14;PRETA;FQJ0A47;KNAJT814BE7608737;;6268;;;;;;;
;16740;FIAT;ARGO DRIVE 1.0;FIAT/ARGO DRIVE 1.0;20|21;CINZA;RFQ1D85;9BD358A4NMYK66717;;6455;;;;;;;
;16741;FIAT;MOBI LIKE;;22|23;;RUY9I91;;;3975;;;;;;;
;16742;FIAT;ARGO DRIVE 1.0;;21|22;;RNX3E32;;;3975;;;;;;;
;16743;VW;VW/POLO CL ADA;1.6;17|18;BRANCA;BZB9393;9BWAH5BZ3JP007349;;6437;;;;;;;
;16744;FIAT;MOBI LIKE;FIAT/MOBI LIKE;21|22;BRANCA;RNN6F58;9BD341ACXNY757245;;3975;;;;;;;
;16745;FIAT;MOBI LIKE;FIAT/MOBI LIKE;20|21;VERMELHA;RFZ3H33;9BD341ACXMY703974;;3975;;;;;;;
;16746;HYUNDAI;HB20S 10M VISION;;22|22;;GJB2C46;;;3975;;;;;;;
;16747;CHEV;TRACKER T A LT;;22|22;;RXO9C71;;;3975;;;;;;;
;16748;VW;GOL;;|;;ELF3G42;;;3975;;;;;;;
;16749;CHEVROLET;ONIX 10MT JOYE;1.0;18|18;BRANCA;FCK8117;9BGKL48U0JB268622;;6199;;;;;;;
;16750;RENAULT;LOGAN EXPR 10;RENAULT/LOGAN EXPR 10;19|20;BRANCA;QQN8796;93Y4SRF84LJ918869;;6126;;;;;;;
;16751;CHEV;ONIX PLUS 10MT LT2;1.0;20|21;BRANCA;RFZ8F97;9BGEB69A0MG145545;;6455;;;;;;;
;16752;RENAULT;LOGAN EXPR 10;RENAULT/LOGAN EXPR 10;18|19;PRATA;QPA4809;93Y4SRF84KJ546124;;192;;;;;;;
;16753;HYUNDAI;HB20 10M EVOLUTI;;21|22;;RTM2B12;;;3975;;;;;;;
;16754;CHEV;TRACKER 1.2 12V TURBO;1.2;21|21;CINZA;RMQ5E66;9BGEP76B0MB229913;;5826;;;;;;;
;16755;JEEP;COMPASS LONGITUDE F;JEEP/COMPASS LONGITUDE F;19|20;BRANCA;QUQ8236;98867512WLKJ77569;;6199;;;;;;;
;16756;PEUGEOT;208 ACTIVE AT1;1.6;22|22;BRANCA;RTY2G60;;;5804;;;;;;;
;16757;FIAT;MOBI LIKE;1.0;21|21;VERMELHA;RMR8H35;9BD341ACXMY733264;;6455;;;;;;;
;16758;CITROEN;C4CACTUS SHINE T;;22|22;;RTT0B68;;;3975;;;;;;;
;16759;VW;GOL MPI;;22|23;;ENI1G53;;;3975;;;;;;;
;16760;CITROEN;C4CACTUS SHINE T;;22|22;;RTT0B68;;;3975;;;;;;;
;16761;CHEV;TRACKER T A LT;;21|22;;RLM9H79;;;3975;;;;;;;
;16762;CHEVROLET;ONIX 10MT LT2;CHEV/ONIX 10MT LT2;20|21;PRATA;RMD1B69;9BGEB48A0MG163442;;5826;;;;;;;
;16763;;MOBI LIKE;FIAT/MOBI LIKE;21|22;CINZA;RNA7I96;9BD341ACXNY745415;;3975;;;;;;;
;16764;FIAT;FIORINO ENDURANCE;;21|21;;RTB0E49;;;5826;;;;;;;
;16765;VW;;VW/FOX 1.0;08|08;PRATA;DVN9819;9BWKA05Z484074609;;6388;;;;;;;
;16766;;GOL 1.6L MB5;VW/GOL 1.6L MB5;19|20;PRATA;QXH6652;9BWAB45U0LT106216;;4196;;;;;;;
;16767;VW;VOYAGE 1.6L MB5;;21|22;;RTF9H77;;;3975;;;;;;;
;16768;HYUNDAI;HB20S 10M VISION;;22|22;;RTV1E33;;;3975;;;;;;;
;16769;HYUNDAI/HB20S10TA EVOLUT;HYUNDAI/HB20S10TA EVOLUT;HYUNDAI/HB20S10TA EVOLUT;20|20;PRETA;RFH4H49;9BHCP41BBLP098127;;3975;;;;;;;
;16770;FIAT;ARGO DRIVE 1.0;;22|23;;RUS8D07;;;3975;;;;;;;
;16771;VW;FOX 1.0;VW/FOX 1.0;08|08;PRATA;DVN9819;9BWKA05Z484074609;;6594;;;;;;;
;16772;PEUGEOT;2008 ALLURE PK;;21|22;;RTO1F54;;;3975;;;;;;;
